,index,Area,Item,Element,Unit,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,total_años
34,4249,"China, mainland",Vegetables,Food,1000 tonnes,52968.0,49318.0,43635.0,39097.0,41449.0,40808.0,41524.0,43742.0,45077.0,36375.0,40620.0,37069.0,41444.0,41519.0,42878.0,42458.0,44566.0,49398.0,49720.0,47949.0,55676.0,59900.0,67862.0,77006.0,83353.0,98119.0,102903.0,110505.0,112335.0,115743.0,118523.0,133090.0,155981.0,171463.0,184812.0,206540.0,221456.0,229928.0,255625.0,311110.0,327370.0,352172.0,354850.0,360767.0,373694.0,388100.0,402975.0,425537.0,434724.0,451838.0,462696.0,479028,489299,9046594.0
73,9151,India,Vegetables,Food,1000 tonnes,16925.0,17664.0,18395.0,19054.0,19749.0,20590.0,21273.0,22022.0,22938.0,23887.0,24873.0,25929.0,26792.0,27723.0,28571.0,29470.0,30430.0,31430.0,32303.0,33240.0,34554.0,35939.0,37464.0,38727.0,39633.0,40922.0,42515.0,43470.0,44280.0,45238.0,46057.0,46713.0,49039.0,50161.0,52564.0,53177.0,50390.0,59530.0,65964.0,67010.0,72832.0,63824.0,72528.0,60491.0,65549.0,74760.0,80659.0,83421.0,82568.0,91969.0,98339.0,104773,111082,2499400.0
165,20518,United States of America,Vegetables,Food,1000 tonnes,17713.0,18628.0,17584.0,17462.0,18097.0,18321.0,19603.0,21463.0,19413.0,19900.0,20930.0,21140.0,21118.0,22443.0,23275.0,22524.0,24303.0,24465.0,25384.0,23535.0,23610.0,26416.0,24703.0,26816.0,26981.0,26504.0,27967.0,26428.0,30072.0,29710.0,29521.0,29272.0,29704.0,33957.0,32927.0,33713.0,33660.0,32913.0,37552.0,37674.0,35720.0,37967.0,37102.0,39107.0,36668.0,37892.0,39116.0,35699.0,37686.0,37496.0,36650.0,37515,36472,1502491.0
81,10199,Japan,Vegetables,Food,1000 tonnes,9036.0,10188.0,11376.0,10975.0,11639.0,12413.0,12731.0,13835.0,13375.0,13151.0,13736.0,13864.0,13502.0,13381.0,13436.0,13616.0,14249.0,14357.0,14178.0,14212.0,14475.0,14531.0,14018.0,14583.0,14336.0,14750.0,14752.0,14524.0,14619.0,14267.0,14083.0,14427.0,14030.0,14169.0,14516.0,14445.0,14089.0,13811.0,14266.0,14181.0,14067.0,13574.0,13627.0,13368.0,13692.0,13494.0,13341.0,13099.0,12814.0,12594.0,12899.0,13279,13006,716976.0
158,19634,Turkey,Vegetables,Food,1000 tonnes,4204.0,4348.0,4538.0,4765.0,4807.0,4805.0,4957.0,5095.0,5493.0,5894.0,5930.0,6150.0,5699.0,6094.0,6501.0,7171.0,7124.0,7801.0,8566.0,8392.0,8473.0,8416.0,8510.0,9027.0,10256.0,9985.0,10259.0,10350.0,10398.0,11515.0,11724.0,12112.0,11819.0,12326.0,14202.0,13946.0,13244.0,14983.0,15929.0,15899.0,15487.0,16497.0,16463.0,16046.0,16869.0,16458.0,16303.0,17183.0,16759.0,16378.0,17609.0,17689,18077,569525.0
79,9934,Italy,Vegetables,Food,1000 tonnes,6642.0,6229.0,7159.0,7701.0,7916.0,8215.0,8176.0,8134.0,9041.0,9195.0,8536.0,7929.0,8440.0,8878.0,9220.0,8643.0,8460.0,8707.0,9070.0,9551.0,9439.0,9761.0,9774.0,9832.0,9746.0,9776.0,9860.0,9981.0,10051.0,9785.0,10298.0,10707.0,9177.0,9912.0,10131.0,10163.0,10130.0,9913.0,10510.0,11215.0,9175.0,8322.0,10087.0,11500.0,10759.0,9462.0,9383.0,9181.0,10527.0,8959.0,8772.0,8149,7860,488139.0
50,6255,Egypt,Vegetables,Food,1000 tonnes,3139.0,3500.0,3830.0,3945.0,4177.0,4514.0,4172.0,4526.0,4642.0,4558.0,4837.0,4707.0,4858.0,5221.0,5666.0,5950.0,5638.0,6008.0,6434.0,6552.0,6667.0,6717.0,6853.0,7130.0,8004.0,9044.0,9585.0,8583.0,7889.0,8207.0,7815.0,8251.0,8310.0,8522.0,9111.0,10465.0,11058.0,11038.0,12412.0,13372.0,12358.0,12761.0,13725.0,14040.0,14663.0,16036.0,16679.0,17461.0,18820.0,16947.0,16370.0,17229,15891,478887.0
75,9397,Iran (Islamic Republic of),Vegetables,Food,1000 tonnes,1289.0,1380.0,1502.0,1564.0,1627.0,1755.0,1855.0,1952.0,2108.0,2166.0,2282.0,2416.0,2641.0,2833.0,3044.0,3316.0,3603.0,4029.0,3721.0,4369.0,4918.0,5759.0,5885.0,6445.0,7121.0,7918.0,7629.0,5323.0,5557.0,9164.0,6501.0,8666.0,7849.0,6791.0,7191.0,9442.0,8762.0,10324.0,10813.0,9872.0,10049.0,12069.0,11776.0,12866.0,15452.0,14845.0,15682.0,13082.0,16122.0,16425.0,18518.0,18679,19623,396570.0
126,15777,Republic of Korea,Vegetables,Food,1000 tonnes,1954.0,2039.0,1952.0,2193.0,2335.0,2476.0,2643.0,2901.0,3163.0,3269.0,3630.0,3487.0,3419.0,3764.0,5126.0,6365.0,6466.0,7885.0,8139.0,7411.0,7640.0,8058.0,7161.0,7465.0,7360.0,8109.0,7394.0,7797.0,8248.0,8620.0,8411.0,8686.0,9681.0,8831.0,9925.0,9752.0,9523.0,9559.0,9896.0,10836.0,10940.0,9665.0,10084.0,10843.0,10148.0,10598.0,10235.0,10667.0,10491.0,9520.0,10803.0,9691,10143,387397.0
56,7034,France,Vegetables,Food,1000 tonnes,6952.0,6994.0,7049.0,6915.0,6996.0,6813.0,6941.0,6735.0,7011.0,6838.0,6480.0,6005.0,6125.0,5991.0,6054.0,5583.0,6133.0,6456.0,6389.0,6195.0,6117.0,6390.0,6190.0,6113.0,6955.0,6301.0,6674.0,7242.0,7258.0,7193.0,7371.0,6868.0,7124.0,5765.0,6195.0,6164.0,6043.0,6390.0,6442.0,6478.0,6435.0,6569.0,6485.0,6842.0,6400.0,6038.0,6112.0,6305.0,6640.0,6516.0,6324.0,6288,6256,345138.0
144,17950,Spain,Vegetables,Food,1000 tonnes,4972.0,4862.0,5092.0,5053.0,4780.0,4798.0,4845.0,4910.0,4856.0,5034.0,5201.0,5332.0,5823.0,6361.0,6450.0,5990.0,6426.0,6428.0,6448.0,6569.0,6212.0,6500.0,6113.0,6472.0,6475.0,6428.0,6465.0,7203.0,7606.0,8256.0,7318.0,6961.0,6374.0,6362.0,5883.0,6209.0,6276.0,6335.0,6771.0,6629.0,6341.0,6761.0,6515.0,6922.0,6758.0,6474.0,6908.0,6577.0,7246.0,6489.0,5839.0,5898,5591,327397.0
61,7662,Germany,Vegetables,Food,1000 tonnes,3641.0,3662.0,4078.0,3831.0,3728.0,4454.0,4335.0,4103.0,4262.0,4757.0,4666.0,4962.0,5108.0,5043.0,4902.0,5021.0,5367.0,5413.0,5469.0,5282.0,5687.0,5598.0,5431.0,5965.0,5778.0,5883.0,5909.0,6091.0,6104.0,5921.0,6232.0,6488.0,5835.0,6343.0,6457.0,7106.0,6930.0,7022.0,7397.0,7455.0,7628.0,7572.0,7444.0,7637.0,7225.0,7366.0,7241.0,7327.0,7625.0,7472.0,7797.0,8026,7686,315762.0
129,16182,Russian Federation,Vegetables,Food,1000 tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11915.0,10784.0,10268.0,11430.0,11287.0,11964.0,11722.0,12515.0,12954.0,13188.0,13409.0,13966.0,14676.0,15303.0,15757.0,14894.0,14906.0,15158.0,15007.0,15720.0,16073,16217,299113.0
116,14449,Nigeria,Vegetables,Food,1000 tonnes,2242.0,2250.0,2327.0,2354.0,2414.0,2410.0,2443.0,2528.0,2595.0,2743.0,2822.0,2699.0,2816.0,2787.0,3092.0,2976.0,2903.0,2822.0,2811.0,2866.0,2913.0,2975.0,2977.0,3219.0,3512.0,3663.0,3585.0,3877.0,4334.0,4199.0,4448.0,4675.0,5119.0,5748.0,5585.0,6340.0,6679.0,7006.0,7440.0,7745.0,7909.0,7783.0,8293.0,9646.0,9949.0,10498.0,10161.0,10666.0,9587.0,10818.0,10597.0,11050,11034,276930.0
21,2654,Brazil,Vegetables,Food,1000 tonnes,1833.0,1952.0,1932.0,2034.0,2039.0,2169.0,2241.0,2325.0,2319.0,2349.0,2520.0,2572.0,2600.0,2886.0,2812.0,2982.0,3195.0,3406.0,3614.0,3664.0,3677.0,3971.0,3915.0,4183.0,4257.0,4238.0,4750.0,4991.0,4814.0,5135.0,5221.0,5003.0,5347.0,5874.0,6254.0,6067.0,6319.0,6338.0,6782.0,6568.0,6755.0,7984.0,8547.0,8211.0,8130.0,8704.0,8808.0,9070.0,9981.0,10366.0,10608.0,10111,10325,272748.0
